paper_id,doc_sha256,pdf_path,run_id,status,phase
row_018,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,1-s2.0-S0264410X22010283-main.pdf,default,ok,phase1
row_019,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,NEJMoa2102383.pdf,default,ok,phase1
row_020,91b1227742aac9b08d85b7b0d493295580cf011a849b99640d9c63d53893edf2,kang_2024_oi_240820_1722527189.44019.pdf,default,ok,phase1
row_021,8eefc735351d4d5f4bf33e24644c750c53ad538af5a9f27fb092ee635a6a9e3a,pnab318.pdf,default,ok,phase1
row_022,ce64c9e63ce68eeeac89b3ac517df7bf50873941399e1a4c673d6522426a36b7,jamapsychiatry_diefenbach_2024_oi_240051_1733254046.61977.pdf,default,ok,phase1
row_023,c02174adc8dbd8cea6dec60b789beea2387f3dcde04d14ce84efdaba15ee9e1f,1-s2.0-S2213260020305543.pdf,default,ok,phase1
row_024,c9cc9e434a1e6cb7023f7c55baca7f12633494d7e2ca50d8a67def12f16ebf60,NEJMoa2116846.pdf,default,ok,phase1
row_025,0b93868a32addb6add8cf44ea6c2eb5f1fcff566a655dd2ae176840530d47656,journal.pone.0295926.pdf,default,ok,phase1
row_026,4a8b6959967482cbd2cb29bebb7855e34ac342cd1a9fd144b193282cd8f49dcb,nutrients-16-02817-v2.pdf,default,ok,phase1
row_027,b0e8059154f6d276e4bfdd7fd17fd0ce202240ae3f651a8afe4a6da53360b8c7,NEJMoa2411262.pdf,default,ok,phase1
row_030,2b226f68744179ede4c24f513223b3de285f5ce06f76b00efe0e8bc8e4fd9c53,armstrong-et-al-2025-development-and-validation-of-an-artificial-intelligence-digital-pathology-biomarker-to-predict.pdf,default,ok,phase1
row_031,fa4c05e72b5636dfdace2061fdff8abe059895b9b0b8f13e70c41b44b699205e,hypertension_and_nafld_risk__insights_from_the.9.pdf,default,ok,phase1
row_032,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,1-s2.0-S016164202300427X-main.pdf,default,ok,phase1
row_033,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,1-s2.0-S0260691724001680-main.pdf,default,ok,phase1
row_034,da50393b29d84a8f54f9f93c84184005452c2e01fc3fcf87ccba70aa44d2d07c,cook_2024_oi_231530_1704835806.04872.pdf,default,ok,phase1
row_035,ca8f5fb97f667c7a2f1e48f535ef832f5d0727af91c033358eec07cb8c0c80fb,s13054-023-04763-5.pdf,default,ok,phase1
row_037,0f733db08e13cb5d0a056484203f3c2aab50f5688bf7a8aded2010e4eaeb55b3,qgae147.pdf,default,ok,phase1
row_038,5d9910c19281766d0aef3f551c241c342f4152adebe169eff127001fbee234d0,tingsgrd_2024_oi_231531_1705094530.5946.pdf,default,ok,phase1
row_039,ebd63041c17fe9eb8aa04cf438f9e677c483181e6644bd5ffedc11f046634880,causal_relationship_between_basal_metabolic_rate.25.pdf,default,ok,phase1
row_040,c938f032d766847f0e90fb35ba2cb1d04a422f7e47a50510c9b14d6f3f400835,s00198-023-06996-0.pdf,default,ok,phase1
row_042,85de83072b4a810720ca6be37b6939c8ae4b010486d5882b2ba7962ae30388a1,s12933-021-01393-5.pdf,default,ok,phase1
row_043,2e12a472de9152233e43c485f2bfeaff931bdcfc96b2615aa9336d06a467dd38,1-s2.0-S0531556522000845-main.pdf,default,ok,phase1
row_044,318377fcb1a1ba2b44b3917b360950ba97915385564928a02bcb3f80662a0ac2,e0cf0780-2ecf-47db-b0a5-472d66039588.pdf,default,ok,phase1
row_045,6cf9a6fde535f71ca156a4eeb3ed1d3c41364ad129bf8061d9e2191f855bf580,1-s2.0-S016503272400689X-main.pdf,default,ok,phase1
row_046,b1af2f9d8c1f91e607fc4dd2ab93a7328f933dd8a062cbc81568c7a6dd180ca8,Seminars in Dialysis - 2024 - Li - Peritoneal Phosphate Clearance  Determinants and Association With Mortality.pdf,default,ok,phase1
